cluster_id,caseName,us_cite,dateFiled,n_opinions,total_chars,text_sources
84679,Oswald v. State of New York,2 U.S. 401,1792-02-14,1,839,html_with_citations
1299643,Vanstophorst v. Maryland,2 U.S. 401,1792-02-14,1,548,html_with_citations
1304346,West v. Barnes,2 U.S. 401,1792-02-14,1,349,html_with_citations
84680,Georgia v. Brailsford,2 U.S. 402,1792-08-11,1,12359,html_with_citations
1299599,Hayburn's Case,2 U.S. 409,1792-08-11,1,18011,html_with_citations
84681,Chisholm v. Georgia,2 U.S. 419,1793-02-19,1,181300,html_with_citations
1303430,Oswald v. State of New York,2 U.S. 415,1793-02-20,1,1090,html_with_citations
1306761,Georgia v. Brailsford,2 U.S. 415,1793-02-20,1,11165,html_with_citations
84683,Georgia v. Brailsford,3 U.S. 1,1794-02-17,1,6749,html_with_citations
2160646,Glass v. the Sloop Betsey,3 U.S. 6,1794-02-18,1,3529,html_with_citations
84684,United States v. Hamilton,3 U.S. 17,1795-02-20,1,3113,html_with_citations
2093658,Penhallow v. Doane's Administrators,3 U.S. 54,1795-02-24,1,116943,html_with_citations
2230740,Bingham v. Cabbot,3 U.S. 19,1795-03-02,1,21244,html_with_citations
2216108,United States v. Lawrence,3 U.S. 42,1795-03-03,1,977,html_with_citations
2229179,Talbot v. Janson,3 U.S. 133,1795-08-22,1,62121,html_with_citations
84685,United States v. Peters,3 U.S. 121,1795-08-24,1,12090,html_with_citations
2220732,McDonough v. Dannery,3 U.S. 188,1796-02-17,1,28322,html_with_citations
84687,Hills in Error v. Ross,3 U.S. 184,1796-02-26,1,11810,html_with_citations
2351149,Ware v. Hylton,3 U.S. 199,1796-03-07,1,224954,html_with_citations
2218550,Geyer v. Michel,3 U.S. 285,1796-03-14,1,944,html_with_citations
84686,Hylton v. United States,3 U.S. 171,1796-03-17,1,37832,html_with_citations
2347065,Hunter v. Fairfax's,3 U.S. 305,1796-08-06,1,2367,html_with_citations
2095284,Moodie v. the Ship Alfred,3 U.S. 307,1796-08-09,1,251,html_with_citations
2098227,Moodie v. Ship Phoebe Anne,3 U.S. 319,1796-08-09,1,1366,html_with_citations
2273280,Cotton v. Wallace,3 U.S. 302,1796-08-09,1,759,html_with_citations
84688,The United States v. La Vengeance,3 U.S. 297,1796-08-11,1,14129,html_with_citations
2096950,Del Col v. Arnold,3 U.S. 333,1796-08-11,1,2111,html_with_citations
2220154,Olney v. Arnold,3 U.S. 308,1796-08-11,1,1145,html_with_citations
84689,Hills v. Ross,3 U.S. 331,1796-08-12,1,1736,html_with_citations
2215103,Grayson v. Virginia,3 U.S. 320,1796-08-12,1,2605,html_with_citations
2219105,Arcambel v. Wiseman,3 U.S. 306,1796-08-12,1,774,html_with_citations
2224213,Wiscart v. Dauchy,3 U.S. 321,1796-08-12,1,18779,html_with_citations
2225895,Huger v. South Carolina,3 U.S. 339,1797-02-10,1,1160,html_with_citations
84691,"Clerke, in Error v. Harwood",3 U.S. 342,1797-02-11,1,5003,html_with_citations
84690,Jennings v. Brig Perseverance,3 U.S. 336,1797-02-13,3,35248,html_with_citations
84692,Brown v. Van Braam,3 U.S. 344,1797-02-13,1,39119,html_with_citations
2346358,Fenemore v. United States,3 U.S. 357,1797-08-07,1,5040,html_with_citations
