cluster_id,caseName,us_cite,volume,scdb_id,source,citation_count,precedential_status,dateFiled,bucket,dedup_role,dup_of
84679,Oswald v. State of New York,2 U.S. 401,2,1792-001,LR,1,Published,1792-02-14,KEEP,canonical,
1299643,Vanstophorst v. Maryland,2 U.S. 401,2,1791-002,L,0,Published,1792-02-14,KEEP,canonical,
1304346,West v. Barnes,2 U.S. 401,2,1791-001,LU,0,Published,1792-02-14,KEEP,canonical,
84680,Georgia v. Brailsford,2 U.S. 402,2,1792-002,LRU,52,Published,1792-08-11,KEEP,canonical,
1299599,Hayburn's Case,2 U.S. 409,2,1792-004,LU,510,Published,1792-08-11,KEEP,canonical,
84681,Chisholm v. Georgia,2 U.S. 419,2,1793-001,LRU,682,Published,1793-02-19,KEEP,canonical,
1303430,Oswald v. State of New York,2 U.S. 415,2,1793-002,L,3,Published,1793-02-20,KEEP,canonical,
1306761,Georgia v. Brailsford,2 U.S. 415,2,1793-003,LU,6,Published,1793-02-20,KEEP,canonical,
84683,Georgia v. Brailsford,3 U.S. 1,3,1794-001,LRU,108,Published,1794-02-17,KEEP,canonical,
2160646,Glass v. the Sloop Betsey,3 U.S. 6,3,1794-002,LU,30,Published,1794-02-18,KEEP,canonical,
84684,United States v. Hamilton,3 U.S. 17,3,1795-001,LRU,26,Published,1795-02-20,KEEP,canonical,
2093658,Penhallow v. Doane's Administrators,3 U.S. 54,3,1795-002,L,84,Published,1795-02-24,KEEP,canonical,
2230740,Bingham v. Cabbot,3 U.S. 19,3,1795-003,LU,33,Published,1795-03-02,KEEP,canonical,
2216108,United States v. Lawrence,3 U.S. 42,3,1795-004,LU,50,Published,1795-03-03,KEEP,canonical,
2229179,Talbot v. Janson,3 U.S. 133,3,1795-006,LU,82,Published,1795-08-22,KEEP,canonical,
84685,United States v. Peters,3 U.S. 121,3,1795-005,LRU,19,Published,1795-08-24,KEEP,canonical,
2220732,McDonough v. Dannery,3 U.S. 188,3,1796-002,LU,30,Published,1796-02-17,KEEP,canonical,
84687,Hills in Error v. Ross,3 U.S. 184,3,1796-001,R,1,Published,1796-02-26,KEEP,canonical,
2351149,Ware v. Hylton,3 U.S. 199,3,1796-003,LU,265,Published,1796-03-07,KEEP,canonical,
2218550,Geyer v. Michel,3 U.S. 285,3,1796-005,L,0,Published,1796-03-14,KEEP,canonical,
84686,Hylton v. United States,3 U.S. 171,3,1796-004,LRU,142,Published,1796-03-17,KEEP,canonical,
2347065,Hunter v. Fairfax's,3 U.S. 305,3,1796-006,LU,10,Published,1796-08-06,KEEP,canonical,
2095284,Moodie v. the Ship Alfred,3 U.S. 307,3,1796-008,LU,23,Published,1796-08-09,KEEP,canonical,
2098227,Moodie v. Ship Phoebe Anne,3 U.S. 319,3,1796-009,L,4,Published,1796-08-09,KEEP,canonical,
2273280,Cotton v. Wallace,3 U.S. 302,3,1796-007,LU,6,Published,1796-08-09,KEEP,canonical,
84688,The United States v. La Vengeance,3 U.S. 297,3,1796-010,R,44,Published,1796-08-11,KEEP,canonical,
2096950,Del Col v. Arnold,3 U.S. 333,3,1796-012,LU,12,Published,1796-08-11,KEEP,canonical,
2220154,Olney v. Arnold,3 U.S. 308,3,1796-011,L,2,Published,1796-08-11,KEEP,canonical,
84689,Hills v. Ross,3 U.S. 331,3,1796-016,LRU,12,Published,1796-08-12,KEEP,canonical,
2215103,Grayson v. Virginia,3 U.S. 320,3,1796-014,LU,17,Published,1796-08-12,KEEP,canonical,
2219105,Arcambel v. Wiseman,3 U.S. 306,3,1796-013,LU,150,Published,1796-08-12,KEEP,canonical,
2224213,Wiscart v. Dauchy,3 U.S. 321,3,1796-015,L,53,Published,1796-08-12,KEEP,canonical,
2225895,Huger v. South Carolina,3 U.S. 339,3,1797-001,L,2,Published,1797-02-10,KEEP,canonical,
84691,"Clerke, in Error v. Harwood",3 U.S. 342,3,1797-002,R,4,Published,1797-02-11,KEEP,canonical,
84690,Jennings v. Brig Perseverance,3 U.S. 336,3,1797-003,LRU,9,Published,1797-02-13,KEEP,canonical,
84692,Brown v. Van Braam,3 U.S. 344,3,1797-004,R,6,Published,1797-02-13,KEEP,canonical,
2346358,Fenemore v. United States,3 U.S. 357,3,1797-006,LU,19,Published,1797-08-07,KEEP,canonical,
84693,Brown v. Barry,3 U.S. 365,3,1797-007,LRU,40,Published,1797-08-15,KEEP,canonical,
2229888,Hamilton v. Moore,3 U.S. 371,3,1797-008,LU,6,Published,1797-08-15,KEEP,canonical,
2219671,Jones v. Le Tombe,3 U.S. 384,3,1798-001,L,12,Published,1798-02-09,KEEP,canonical,
84694,Hollingsworth v. Virginia,3 U.S. 378,3,1798-002,R,42,Published,1798-02-14,KEEP,canonical,
2158753,Bingham v. Cabot,3 U.S. 382,3,1798-003,L,54,Published,1798-02-14,KEEP,canonical,
2217721,Emory v. Grenough,3 U.S. 369,3,1797-005,LU,25,Published,1798-02-14,KEEP,canonical,
84695,Calder v. Bull,3 U.S. 386,3,1798-005,LR,1860,Published,1798-08-17,KEEP,canonical,
2224796,Wilson v. Daniel,3 U.S. 401,3,1798-004,LU,44,Published,1798-08-17,KEEP,canonical,
84696,Dewhurst v. Coulthard,3 U.S. 409,3,1798-006,R,1,Published,1799-02-01,KEEP,canonical,
84697,Fowler v. Lindsey,3 U.S. 411,3,1799-002,LR,26,Published,1799-02-19,KEEP,canonical,
84698,Sims Lessee v. Irvine,3 U.S. 425,3,1799-004,LRU,42,Published,1799-02-19,KEEP,canonical,
2225264,Clarke v. Russel,3 U.S. 415,3,1799-003,LU,24,Published,1799-02-19,KEEP,canonical,
2620848,Turner v. Enrille,4 U.S. 7,4,1799-007,L,23,Published,1799-08-09,KEEP,canonical,
84706,State of New York v. State of Connecticut Et Al.,4 U.S. 1,4,1799-005,LRU,57,Published,1799-08-17,KEEP,canonical,
84707,"Turner, Administrator of Stanley, in Error v. The President, Directors and Company of the Bank of North America",4 U.S. 8,4,1799-008,R,338,Published,1799-08-17,KEEP,canonical,
2620825,Williamson v. Kincaid,4 U.S. 20,4,1800-005,L,7,Published,1800-02-01,KEEP,canonical,
2620845,Blair v. Miller,4 U.S. 21,4,1800-006,L,3,Published,1800-02-01,KEEP,canonical,
2620855,Cooper v. Telfair,4 U.S. 14,4,1800-004,L,41,Published,1800-02-13,KEEP,canonical,
84709,Course v. Stead,4 U.S. 22,4,1800-002,LR,5,Published,1800-02-18,KEEP,canonical,
2620829,Blaine v. Ship Clarles Carter,4 U.S. 22,4,1800-003,L,0,Published,1800-02-18,KEEP,canonical,
2620868,Rutherford v. Fisher,4 U.S. 22,4,1800-001,L,7,Published,1800-02-18,KEEP,canonical,
2620828,Talbot v. Ship Amelia,4 U.S. 34,4,1801-002,L,5,Published,1800-08-01,KEEP,canonical,
84708,"Mossman, Surviving in Error v. Higginson, Surviving Partner, in Error",4 U.S. 12,4,1800-007,R,71,Published,1800-08-11,KEEP,canonical,
84710,"Priestman, in Error v. The United States",4 U.S. 28,4,1800-008,R,9,Published,1800-08-15,KEEP,canonical,
2620852,Bas v. Tingy,4 U.S. 37,4,1800-009,L,57,Published,1800-08-15,KEEP,canonical,
84754,Talbot v. Seeman,5 U.S. 1,5,1801-001,LRU,69,Published,1801-08-11,KEEP,canonical,
84757,Resler v. Shehee,5 U.S. 110,5,1801-003,LR,20,Published,1801-12-11,KEEP,canonical,
84755,Wilson v. Mason,5 U.S. 45,5,1801-004,LRU,24,Published,1801-12-15,KEEP,canonical,
84756,United States v. Schooner Peggy,5 U.S. 103,5,1801-005,RU,816,Published,1801-12-21,KEEP,canonical,
84758,Turner v. Fendall,5 U.S. 116,5,,LR,8,Published,1801-12-21,KEEP,canonical,
84775,Lloyd v. Alexander,5 U.S. 365,5,1803-001,LRU,7,Published,1803-02-10,KEEP,canonical,
84760,Clark v. Robert Young & Co.,5 U.S. 181,5,1803-011,LRU,25,Published,1803-02-17,KEEP,canonical,
84762,Clarke v. Bazadone,5 U.S. 212,5,1803-002,LR,9,Published,1803-02-17,KEEP,canonical,
84763,Hooe & Co. v. Groverman,5 U.S. 214,5,1803-003,LRU,17,Published,1803-02-23,KEEP,canonical,
84765,United States v. Simms,5 U.S. 252,5,1803-004,LRU,26,Published,1803-02-23,KEEP,canonical,
84759,Marbury v. Madison,5 U.S. 137,5,1803-005,LRU,5994,Published,1803-02-24,KEEP,canonical,
84766,Fenwick v. Sears's Administrators,5 U.S. 259,5,1803-006,LR,31,Published,1803-02-25,KEEP,canonical,
84771,The United States v. R. T. Hooe and Others,5 U.S. 318,5,1803-007,RU,5,Published,1803-02-25,KEEP,canonical,
84761,Wilson v. Lenox and Maitland,5 U.S. 194,5,1803-008,RU,3,Published,1803-02-26,KEEP,canonical,
84767,Thompson v. Jameson,5 U.S. 282,5,1803-009,LRU,2,Published,1803-02-26,KEEP,canonical,
84768,Mandeville v. Joseph Riddle & Co.,5 U.S. 290,5,1803-010,LRU,23,Published,1803-02-26,KEEP,canonical,
84770,Hamilton v. Russell,5 U.S. 309,5,1803-012,LRU,89,Published,1803-02-28,KEEP,canonical,
84772,Hepburn v. Auld,5 U.S. 321,5,1803-013,LRU,12,Published,1803-02-28,KEEP,canonical,
2620768,Abercrombie v. Dupuis,5 U.S. 342,5,,L,0,Published,1803-02-28,KEEP,canonical,
2620770,Lindo v. Gardner,5 U.S. 343,5,1803-014,L,22,Published,1803-02-28,KEEP,canonical,
2620769,Wood v. Owings,5 U.S. 238,5,,L,0,Published,1803-03-01,KEEP,canonical,
84764,"Gabriel Wood, in Error v. William Owings and Job Smith, Assignees of William Robb, a Bankrupt",5 U.S. 239,5,1803-016,RU,6,Published,1803-03-18,KEEP,canonical,
84769,Stuart v. Laird,5 U.S. 299,5,1803-018,RU,181,Published,1803-03-18,KEEP,canonical,
84773,Marine Insurance Company of Alexandria v. James Young,5 U.S. 332,5,1803-017,R,6,Published,1803-03-18,KEEP,canonical,
84774,Hodgson v. Dexter,5 U.S. 345,5,1803-019,RU,89,Published,1803-03-18,KEEP,canonical,
2620814,Wood v. Wagnon,6 U.S. 9,6,1804-002,L,13,Published,1804-02-09,KEEP,canonical,
2620817,Williams v. Lyles,6 U.S. 9,6,1804-003,L,1,Published,1804-02-09,KEEP,canonical,
84776,Faw v. Marsteller,6 U.S. 10,6,1804-001,LR,14,Published,1804-02-14,KEEP,canonical,
6726196,Williams & Hodges v. Lyles,6 U.S. 10,6,,U,0,Published,1804-02-15,KEEP,canonical,
84777,Ogle v. Lee,6 U.S. 33,6,1804-005,LR,50,Published,1804-02-22,KEEP,canonical,
84778,Murray v. Schooner Charming Betsy,6 U.S. 64,6,1804-007,LR,400,Published,1804-02-22,KEEP,canonical,
6726202,Pennington v. Coxe,6 U.S. 34,6,,U,1,Published,1804-02-22,KEEP,canonical,
84780,Head & Amory v. Providence Ins. Co.,6 U.S. 127,6,1804-008,LR,102,Published,1804-02-25,KEEP,canonical,
84781,Little v. Barreme,6 U.S. 170,6,1804-009,LR,130,Published,1804-02-27,KEEP,canonical,
84782,Dunlop & Co. v. Ball,6 U.S. 180,6,1804-010,LRU,15,Published,1804-02-28,KEEP,canonical,
84783,Blakeney v. Evans,6 U.S. 185,6,1804-011,R,1,Published,1804-02-29,KEEP,canonical,
6726218,Ogden v. Blackledge,6 U.S. 272,6,,U,3,Published,1804-03-06,KEEP,canonical,
84779,Capron v. Van Noorden,6 U.S. 126,6,1804-012,LR,209,Published,1804-03-18,KEEP,canonical,
84784,Church v. Hubbart,6 U.S. 187,6,1804-013,LR,115,Published,1804-03-18,KEEP,canonical,
84785,Mason v. Ship Blaireau,6 U.S. 240,6,1804-014,LR,98,Published,1804-03-18,KEEP,canonical,
84786,"Ogden, Administrator of Cornell v. Blackledge, of Salter",6 U.S. 272,6,1804-015,R,58,Published,1804-03-18,KEEP,canonical,
6726221,McIlvaine v. Lessee,6 U.S. 281,6,,U,0,Published,1805-02-15,KEEP,canonical,
6726225,"Reily v. Lamar, Beall & Smith",6 U.S. 345,6,,U,0,Published,1805-02-15,KEEP,canonical,
84788,Adams v. Woods,6 U.S. 336,6,1805-002,R,120,Published,1805-02-19,KEEP,canonical,
84790,Reily v. Lámar,6 U.S. 344,6,1805-003,LR,8,Published,1805-02-19,KEEP,canonical,
84791,United States v. Fisher,6 U.S. 358,6,1805-004,LR,544,Published,1805-02-21,KEEP,canonical,
84792,Telfair v. Stead's Executors,6 U.S. 407,6,1805-007,LR,4,Published,1805-02-25,KEEP,canonical,
84793,Graves & Barnewall v. Boston Marine Insurance,6 U.S. 419,6,1805-008,LRU,41,Published,1805-02-25,KEEP,canonical,
84794,Hepburn & Dundas v. Ellzey,6 U.S. 445,6,1805-009,LRU,128,Published,1805-02-25,KEEP,canonical,
2620815,Bailiff v. Tipping,6 U.S. 406,6,1805-006,L,4,Published,1805-02-25,KEEP,canonical,
2620816,United States v. Schooner Sally,6 U.S. 406,6,1805-005,L,11,Published,1805-02-25,KEEP,canonical,
84795,Huidekoper's Lessee v. Douglass,7 U.S. 1,7,1805-010,LRU,67,Published,1805-02-27,KEEP,canonical,
84796,United States v. Hooe Et Al.,7 U.S. 73,7,1805-011,LRU,151,Published,1805-02-27,KEEP,canonical,
84797,Peyton v. Brooke,7 U.S. 92,7,1805-012,R,3,Published,1805-02-27,KEEP,canonical,
84787,McIlvaine v. Coxe's Lessee,6 U.S. 280,6,1804-004,LR,16,Published,1805-03-18,KEEP,canonical,
84789,Winchester v. Hackley,6 U.S. 342,6,1805-017,LR,17,Published,1805-03-18,KEEP,canonical,
84798,Lambert's Lessee v. Payne,7 U.S. 97,7,1805-013,LRU,34,Published,1805-03-18,KEEP,canonical,
84799,Hodgson v. Butts,7 U.S. 140,7,1805-014,LRU,16,Published,1805-03-18,KEEP,canonical,
84800,United States v. Benjamin More. 1,7 U.S. 159,7,1805-015,R,54,Published,1805-03-18,KEEP,canonical,
84801,Faw v. Roberdeau's,7 U.S. 174,7,1805-016,R,18,Published,1805-03-18,KEEP,canonical,
84802,Ray v. Law,7 U.S. 179,7,1805-019,LRU,46,Published,1805-03-18,KEEP,canonical,
84803,Levy v. Gadsby,7 U.S. 180,7,1805-018,R,36,Published,1805-03-18,KEEP,canonical,
84804,The Marine Insurance Company of Alexandria v. Wilson.,7 U.S. 187,7,1805-020,R,0,Published,1805-03-18,KEEP,canonical,
84805,Wilson v. Codman's,7 U.S. 193,7,1805-021,LRU,19,Published,1805-03-18,KEEP,canonical,
84806,Hallet and Bowne v. Jenks and Others,7 U.S. 210,7,1805-022,R,2,Published,1805-03-18,KEEP,canonical,
84807,"Milligan, Administrator of Milligan v. Milledge & Wife.",7 U.S. 220,7,1805-023,R,12,Published,1805-03-18,KEEP,canonical,
84808,Cooke v. Graham's Administrator.,7 U.S. 229,7,1805-024,R,27,Published,1805-03-18,KEEP,canonical,
84809,Dobynes & Morton v. United States,7 U.S. 241,7,1806-001,LR,0,Published,1806-02-10,KEEP,canonical,
84810,Hannay v. Eve,7 U.S. 242,7,1806-003,RU,47,Published,1806-02-13,KEEP,canonical,
84811,S. AND A. SILSBY v. Young and Silsby,7 U.S. 249,7,1806-004,LR,4,Published,1806-02-13,KEEP,canonical,
84812,Strawbridge v. Curtiss,7 U.S. 267,7,1806-005,LRU,1977,Published,1806-02-13,KEEP,canonical,
84813,Gordon v. Caldcleugh,7 U.S. 268,7,1806-006,LRU,16,Published,1806-02-13,KEEP,canonical,
2429586,Montalet v. Murray,7 U.S. 249,7,1806-002,L,2,Published,1806-02-13,KEEP,canonical,
6726237,Silsby v. Young,7 U.S. 149,7,,U,3,Published,1806-02-13,KEEP,canonical,
84814,McFerran v. Taylor,7 U.S. 270,7,1806-007,LRU,36,Published,1806-02-14,KEEP,canonical,
84815,Wilson v. Speed,7 U.S. 283,7,1806-008,LRU,5,Published,1806-02-14,KEEP,canonical,
84817,Douglass & Mandeville v. McAllister,7 U.S. 298,7,1806-009,LRU,17,Published,1806-02-17,KEEP,canonical,
2429567,Field v. Milton,7 U.S. 514,7,,L,2,Published,1806-02-17,KEEP,canonical,
2432524,Winchester v. JACKSON AND OTHERS,7 U.S. 514,7,1806-015,L,11,Published,1806-02-17,KEEP,canonical,
84818,Simms v. Slacum,7 U.S. 300,7,1806-010,LRU,51,Published,1806-02-19,KEEP,canonical,
84819,Harris v. Johnston,7 U.S. 311,7,1806-011,R,22,Published,1806-02-19,KEEP,canonical,
84820,Dixon's Executors v. Ramsay's Executors,7 U.S. 319,7,1806-012,R,44,Published,1806-02-19,KEEP,canonical,
84821,Scott v. Negro London,7 U.S. 324,7,1806-013,R,6,Published,1806-02-19,KEEP,canonical,
84822,Wise v. Withers,7 U.S. 331,7,1806-014,RU,83,Published,1806-02-19,KEEP,canonical,
84823,United States v. Grundy and Thornburgh,7 U.S. 337,7,1806-016,LRU,65,Published,1806-02-22,KEEP,canonical,
84826,"Manella, Pujals, and Co. v. Barry",7 U.S. 415,7,1806-017,LRU,12,Published,1806-02-26,KEEP,canonical,
