cluster_id,caseName,us_cite,volume,scdb_id,source,citation_count,precedential_status,dateFiled,bucket,dedup_role,dup_of
84677,Appointment of Justices,2 U.S. 399,2,,R,2,Published,1790-02-01,REVIEW,canonical,
84714,GEYER'S v. Irwin,4 U.S. 107,4,,LR,17,Published,1790-04-01,REVIEW,canonical,
84651,Todd v. Thompson,2 U.S. 105,2,,RU,7,Published,1790-06-01,REVIEW,canonical,
1303728,Respublica v. Griffiths,2 U.S. 112,2,,LU,6,Published,1790-06-01,REVIEW,canonical,
84634,Bowen v. Douglass,2 U.S. 44,2,,R,1,Published,1790-08-01,REVIEW,canonical,
84635,"Inglis, for the Use of Reede v. Inglis's Executors",2 U.S. 45,2,,R,6,Published,1790-08-01,REVIEW,canonical,
84636,Innis v. Miller,2 U.S. 50,2,,RU,6,Published,1790-08-01,REVIEW,canonical,
84637,Rapalje v. Emory,2 U.S. 51,2,,LRU,15,Published,1790-08-01,REVIEW,canonical,
84638,Rue v. Mitchell,2 U.S. 58,2,,R,9,Published,1790-08-01,REVIEW,canonical,
84639,"Price v. Ralston, Assignee of Pollard, a Bankrupt",2 U.S. 60,2,,R,2,Published,1790-08-01,REVIEW,canonical,
84640,Woglam v. Cowperthwaite,2 U.S. 68,2,,RU,16,Published,1790-08-01,REVIEW,canonical,
1303508,Powell v. Biddle,2 U.S. 70,2,,LU,9,Published,1790-08-01,REVIEW,canonical,
1303706,Cowperthwaite v. Jones,2 U.S. 55,2,,LU,14,Published,1790-08-01,REVIEW,canonical,
84641,Brailey v. Miller,2 U.S. 74,2,,RU,4,Published,1790-09-01,REVIEW,canonical,
84642,Sharpe v. Thatcher,2 U.S. 77,2,,R,1,Published,1790-10-01,REVIEW,canonical,
84678,Qualification of Counsellors and Attorneys,2 U.S. 400,2,,R,1,Published,1791-02-01,REVIEW,canonical,
2620818,Donaldson v. Means,4 U.S. 109,4,,L,6,Published,1791-03-01,REVIEW,canonical,
84652,Douglass's Lessee v. Sanderson,2 U.S. 116,2,,R,10,Published,1791-04-01,REVIEW,canonical,
1303472,Respublica v. Roberts,2 U.S. 124,2,,LU,14,Published,1791-04-01,REVIEW,canonical,
8403272,Vanstophorst v. Maryland,2 U.S. 401,2,,U,0,Published,1791-07-01,REVIEW,canonical,
84670,"Hannum in Error v. Spear, in Error",2 U.S. 291,2,,RU,7,Published,1791-08-01,REVIEW,canonical,
84653,Respublica v. Lacaze,2 U.S. 118,2,,LRU,10,Published,1791-09-01,REVIEW,canonical,
1303513,Scott v. Crosdale,2 U.S. 127,2,,LU,6,Published,1791-09-01,REVIEW,canonical,
1303682,Nichols v. Postlethwaite,2 U.S. 131,2,,LU,25,Published,1791-09-01,REVIEW,canonical,
2620869,Little v. DAWSON,4 U.S. 111,4,,L,12,Published,1791-09-01,REVIEW,canonical,
84654,Hood's Executors v. Nesbit,2 U.S. 137,2,,LRU,26,Published,1792-01-01,REVIEW,canonical,
2620833,Commonwealth v. Dillon,4 U.S. 116,4,,L,11,Published,1792-01-01,REVIEW,canonical,
84679,Oswald v. State of New York,2 U.S. 401,2,1792-001,LR,1,Published,1792-02-14,KEEP,canonical,
1299643,Vanstophorst v. Maryland,2 U.S. 401,2,1791-002,L,0,Published,1792-02-14,KEEP,canonical,
1304346,West v. Barnes,2 U.S. 401,2,1791-001,LU,0,Published,1792-02-14,KEEP,canonical,
