cluster_id,caseName,us_cite,volume,scdb_id,source,citation_count,precedential_status,dateFiled,bucket,dedup_role,dup_of
8403274,Oswald v. New-York,2 U.S. 402,2,,U,0,Published,1792-08-15,REVIEW,duplicate,8403273
8403131,Resler v. Shehee,5 U.S. 110,5,,U,1,Published,1801-12-15,KEEP,duplicate,84757
8403132,Turner v. Fendall,5 U.S. 117,5,,U,2,Published,1801-12-15,KEEP,duplicate,84758
8403133,Clarke v. Bazadone,5 U.S. 212,5,,U,1,Published,1803-02-15,KEEP,duplicate,84762
8403136,Abercrombie v. Dupuis,5 U.S. 343,5,,U,0,Published,1803-02-15,KEEP,duplicate,2620768
8403137,Lindo v. Gardner,5 U.S. 343,5,,U,0,Published,1803-02-15,KEEP,duplicate,2620770
8403134,Fenwick v. Sears's Administrators,5 U.S. 259,5,,U,1,Published,1803-02-25,KEEP,duplicate,84766
8403135,Marine Insurance Co. of Alexandria v. Young,5 U.S. 332,5,,U,1,Published,1803-03-01,KEEP,duplicate,84773
6726199,Faw v. Marsteller,6 U.S. 11,6,,U,4,Published,1804-02-14,KEEP,duplicate,84776
6726198,Wood v. Wagnon,6 U.S. 10,6,,U,0,Published,1804-02-15,KEEP,duplicate,2620814
6726201,Ogle v. Lee,6 U.S. 33,6,,U,1,Published,1804-02-15,KEEP,duplicate,84777
6726205,Capron v. Van Noorden,6 U.S. 127,6,,U,1,Published,1804-02-15,KEEP,duplicate,84779
6726204,Murray v. The Schooner Charming Betsy,6 U.S. 65,6,,U,7,Published,1804-02-22,KEEP,duplicate,84778
6726207,Head & Amory v. Providence Insurance,6 U.S. 128,6,,U,0,Published,1804-02-25,KEEP,duplicate,84780
6726209,Little v. Barreme,6 U.S. 171,6,,U,2,Published,1804-02-27,KEEP,duplicate,84781
6726210,Blakeney v. Evans,6 U.S. 186,6,,U,0,Published,1804-03-01,KEEP,duplicate,84783
6726213,Church v. Hubbart,6 U.S. 188,6,,U,1,Published,1804-03-05,KEEP,duplicate,84784
6726216,Mason v. The Ship Blaireau,6 U.S. 241,6,,U,0,Published,1804-03-06,KEEP,duplicate,84785
6726223,Winchester v. Hackley,6 U.S. 343,6,,U,1,Published,1805-02-15,KEEP,duplicate,84789
6726226,United States v. Fisher,6 U.S. 359,6,,U,0,Published,1805-02-15,KEEP,duplicate,84791
6726229,United States v. The Schooner Sally,6 U.S. 406,6,,U,0,Published,1805-02-15,KEEP,duplicate,2620816
6726230,Bailiff v. Tipping,6 U.S. 406,6,,U,0,Published,1805-02-15,KEEP,duplicate,2620815
6726231,Telfair v. Stead's Executors,6 U.S. 408,6,,U,5,Published,1805-02-15,KEEP,duplicate,84792
6726233,Peyton v. Brooke,7 U.S. 92,7,,U,1,Published,1805-02-15,KEEP,duplicate,84797
6726222,Adams v. Woods,6 U.S. 337,6,,U,1,Published,1805-02-18,KEEP,duplicate,84788
6726239,United States v. More,7 U.S. 159,7,,U,92,Published,1805-03-02,KEEP,duplicate,84800
6726241,Faw v. Roberdeau's,7 U.S. 174,7,,U,1,Published,1805-03-02,KEEP,duplicate,84801
6726235,Levy v. Gadsby,7 U.S. 109,7,,U,0,Published,1805-03-04,KEEP,duplicate,84803
6726243,Marine Insurance v. Wilson,7 U.S. 187,7,,U,1,Published,1805-03-05,KEEP,duplicate,84804
6726245,Hallet v. Jenks,7 U.S. 210,7,,U,1,Published,1805-03-06,KEEP,duplicate,84806
6726246,Milligan v. Milledge,7 U.S. 220,7,,U,1,Published,1805-03-06,KEEP,duplicate,84807
6726248,Cooke v. Graham's Administrator,7 U.S. 229,7,,U,1,Published,1805-03-06,KEEP,duplicate,84808
6726249,Dobynes v. United States,7 U.S. 241,7,,U,1,Published,1806-02-15,KEEP,duplicate,84809
6726250,Montalet v. Murray,7 U.S. 249,7,,U,0,Published,1806-02-15,KEEP,duplicate,2429586
6726262,Ex parte Burford,7 U.S. 448,7,,U,1,Published,1806-02-15,KEEP,duplicate,84827
6726265,Lawrason v. Mason,7 U.S. 492,7,,U,1,Published,1806-02-15,KEEP,duplicate,84830
6726266,Sands v. Knox,7 U.S. 499,7,,U,1,Published,1806-02-15,KEEP,duplicate,84832
6726270,Field v. Milton,7 U.S. 514,7,,U,0,Published,1806-02-15,KEEP,duplicate,2429567
6726273,Winchester v. Jackson,7 U.S. 514,7,,U,0,Published,1806-02-15,KEEP,duplicate,2432524
6726255,Harris v. Johnston,7 U.S. 311,7,,U,11,Published,1806-02-19,KEEP,duplicate,84819
6726257,Dixon's Executors v. Ramsay's Executors,7 U.S. 319,7,,U,1,Published,1806-02-19,KEEP,duplicate,84820
6726258,Scott v. London,7 U.S. 324,7,,U,1,Published,1806-02-19,KEEP,duplicate,84821
6726254,Buddicum v. Kirk,7 U.S. 293,7,,U,1,Published,1806-03-01,KEEP,duplicate,84816
6726263,Hopkirk v. Bell,7 U.S. 454,7,,U,1,Published,1806-03-04,KEEP,duplicate,84828
6726275,United States v. Kid,8 U.S. 1,8,,U,1,Published,1807-02-15,KEEP,duplicate,84834
6726282,Pendleton v. Wambersie,8 U.S. 73,8,,U,1,Published,1807-02-15,KEEP,duplicate,84841
6726283,Skillern's executors v. May's executors,8 U.S. 137,8,,U,1,Published,1807-02-15,KEEP,duplicate,84843
6726294,Diggs v. Wolcott,8 U.S. 179,8,,U,1,Published,1807-02-15,KEEP,duplicate,84851
6726287,Hicks v. Rogers,8 U.S. 165,8,,U,1,Published,1807-02-23,KEEP,duplicate,84846
6726285,Hopkirk v. Bell,8 U.S. 164,8,,U,1,Published,1807-02-28,KEEP,duplicate,84845
8670059,United States v. Cantrill,8 U.S. 167,8,,U,1,Published,1807-02-28,KEEP,duplicate,84847
6726301,Young v. Preston,8 U.S. 239,8,,U,1,Published,1808-02-15,KEEP,duplicate,84860
6726305,United States v. McDowell,8 U.S. 316,8,,U,1,Published,1808-02-15,KEEP,duplicate,84865
6726311,Shearman v. Irvine's Lessee,8 U.S. 367,8,,U,1,Published,1808-02-15,KEEP,duplicate,84872
6726316,Matthews v. Zane,8 U.S. 382,8,,U,1,Published,1808-02-15,KEEP,duplicate,84874
6726324,Ex parte Lewis,8 U.S. 433,8,,U,1,Published,1808-02-15,KEEP,duplicate,84881
6726328,United States v. The Schooner Betsey & Charlotte,8 U.S. 443,8,,U,1,Published,1808-02-15,KEEP,duplicate,84883
6726303,Chappedelaine v. Dechenaux,8 U.S. 306,8,,U,1,Published,1808-03-04,KEEP,duplicate,84864
6726306,Mayor of Alexandria v. Patten,8 U.S. 317,8,,U,1,Published,1808-03-07,KEEP,duplicate,84866
6726309,Mountz v. Hodgson,8 U.S. 324,8,,U,1,Published,1808-03-08,KEEP,duplicate,84868
6726317,Young v. Bank of Alexandria,8 U.S. 384,8,,U,6,Published,1808-03-12,KEEP,duplicate,84875
6726321,Stead's executors v. Course,8 U.S. 403,8,,U,1,Published,1808-03-14,KEEP,duplicate,84878
6726300,Grant v. Naylor,8 U.S. 224,8,,U,1,Published,1808-03-29,KEEP,duplicate,84858
6726334,Mandeville & Jamesson v. Wilson,9 U.S. 15,9,,U,1,Published,1809-02-15,KEEP,duplicate,84887
6726337,Young v. Bank of Alexandria,9 U.S. 45,9,,U,1,Published,1809-02-15,KEEP,duplicate,84891
6726342,Hope Insurance v. Boardman,9 U.S. 57,9,,U,1,Published,1809-02-15,KEEP,duplicate,84893
6726346,Matthews v. Zane's Lessee,9 U.S. 92,9,,U,1,Published,1809-02-15,KEEP,duplicate,84895
6726353,Kempe's Lessee v. Kennedy,9 U.S. 173,9,,U,2,Published,1809-02-15,KEEP,duplicate,84900
6726354,Marine Insurance v. Young,9 U.S. 187,9,,U,1,Published,1809-02-15,KEEP,duplicate,84901
6726359,United States v. Patterson,9 U.S. 257,9,,U,1,Published,1809-02-15,KEEP,duplicate,84904
6726364,United States v. Evans,9 U.S. 280,9,,U,1,Published,1809-02-15,KEEP,duplicate,84906
6726367,Rush v. Parker,9 U.S. 287,9,,U,1,Published,1809-02-15,KEEP,duplicate,84909
6726371,Logan v. Patrick,9 U.S. 288,9,,U,1,Published,1809-02-15,KEEP,duplicate,84910
6726381,Dulany v. Hodgkin,9 U.S. 333,9,,U,1,Published,1809-02-15,KEEP,duplicate,84917
6726383,Yeaton v. Fry,9 U.S. 335,9,,U,3,Published,1809-02-15,KEEP,duplicate,84918
6726388,Moss v. Riddle & Co.,9 U.S. 351,9,,U,1,Published,1809-02-15,KEEP,duplicate,84920
6726390,Auld v. Norwood,9 U.S. 361,9,,U,1,Published,1809-02-15,KEEP,duplicate,84922
6726392,Slacum v. Simms & Wise,9 U.S. 363,9,,U,1,Published,1809-02-15,KEEP,duplicate,84923
6726393,United States v. Vowell & M'Clean,9 U.S. 368,9,,U,1,Published,1809-02-15,KEEP,duplicate,84924
6726395,Sally v. United States,9 U.S. 372,9,,U,1,Published,1809-02-15,KEEP,duplicate,84925
6726398,Ex parte Wilson,10 U.S. 52,10,,U,1,Published,1810-02-15,KEEP,duplicate,84930
6726402,Riddle & Co. v. Mandeville & Jamesson,10 U.S. 86,10,,U,1,Published,1810-02-15,KEEP,duplicate,84934
6726411,Stewart v. Anderson,10 U.S. 203,10,,U,0,Published,1810-02-15,KEEP,duplicate,84943
6726415,Lodge's Lessee v. Lee,10 U.S. 237,10,,U,1,Published,1810-02-15,KEEP,duplicate,84948
6726419,De Butts v. Bacon,10 U.S. 252,10,,U,1,Published,1810-02-15,KEEP,duplicate,84950
6726426,Tyler v. Tuel,10 U.S. 324,10,,U,1,Published,1810-02-15,KEEP,duplicate,84958
