cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
84679,Oswald v. State of New York,2 U.S. 401,2,1792-001,1792-02-14,KEEP,has scdb_id
1299643,Vanstophorst v. Maryland,2 U.S. 401,2,1791-002,1792-02-14,KEEP,has scdb_id
1304346,West v. Barnes,2 U.S. 401,2,1791-001,1792-02-14,KEEP,has scdb_id
84680,Georgia v. Brailsford,2 U.S. 402,2,1792-002,1792-08-11,KEEP,has scdb_id
1299599,Hayburn's Case,2 U.S. 409,2,1792-004,1792-08-11,KEEP,has scdb_id
84681,Chisholm v. Georgia,2 U.S. 419,2,1793-001,1793-02-19,KEEP,has scdb_id
1303430,Oswald v. State of New York,2 U.S. 415,2,1793-002,1793-02-20,KEEP,has scdb_id
1306761,Georgia v. Brailsford,2 U.S. 415,2,1793-003,1793-02-20,KEEP,has scdb_id
84683,Georgia v. Brailsford,3 U.S. 1,3,1794-001,1794-02-17,KEEP,has scdb_id
2160646,Glass v. the Sloop Betsey,3 U.S. 6,3,1794-002,1794-02-18,KEEP,has scdb_id
84684,United States v. Hamilton,3 U.S. 17,3,1795-001,1795-02-20,KEEP,has scdb_id
2093658,Penhallow v. Doane's Administrators,3 U.S. 54,3,1795-002,1795-02-24,KEEP,has scdb_id
2230740,Bingham v. Cabbot,3 U.S. 19,3,1795-003,1795-03-02,KEEP,has scdb_id
2216108,United States v. Lawrence,3 U.S. 42,3,1795-004,1795-03-03,KEEP,has scdb_id
2229179,Talbot v. Janson,3 U.S. 133,3,1795-006,1795-08-22,KEEP,has scdb_id
84685,United States v. Peters,3 U.S. 121,3,1795-005,1795-08-24,KEEP,has scdb_id
2220732,McDonough v. Dannery,3 U.S. 188,3,1796-002,1796-02-17,KEEP,has scdb_id
84687,Hills in Error v. Ross,3 U.S. 184,3,1796-001,1796-02-26,KEEP,has scdb_id
2351149,Ware v. Hylton,3 U.S. 199,3,1796-003,1796-03-07,KEEP,has scdb_id
2218550,Geyer v. Michel,3 U.S. 285,3,1796-005,1796-03-14,KEEP,has scdb_id
84686,Hylton v. United States,3 U.S. 171,3,1796-004,1796-03-17,KEEP,has scdb_id
2347065,Hunter v. Fairfax's,3 U.S. 305,3,1796-006,1796-08-06,KEEP,has scdb_id
2095284,Moodie v. the Ship Alfred,3 U.S. 307,3,1796-008,1796-08-09,KEEP,has scdb_id
2098227,Moodie v. Ship Phoebe Anne,3 U.S. 319,3,1796-009,1796-08-09,KEEP,has scdb_id
2273280,Cotton v. Wallace,3 U.S. 302,3,1796-007,1796-08-09,KEEP,has scdb_id
84688,The United States v. La Vengeance,3 U.S. 297,3,1796-010,1796-08-11,KEEP,has scdb_id
2096950,Del Col v. Arnold,3 U.S. 333,3,1796-012,1796-08-11,KEEP,has scdb_id
2220154,Olney v. Arnold,3 U.S. 308,3,1796-011,1796-08-11,KEEP,has scdb_id
84689,Hills v. Ross,3 U.S. 331,3,1796-016,1796-08-12,KEEP,has scdb_id
2215103,Grayson v. Virginia,3 U.S. 320,3,1796-014,1796-08-12,KEEP,has scdb_id
2219105,Arcambel v. Wiseman,3 U.S. 306,3,1796-013,1796-08-12,KEEP,has scdb_id
2224213,Wiscart v. Dauchy,3 U.S. 321,3,1796-015,1796-08-12,KEEP,has scdb_id
2225895,Huger v. South Carolina,3 U.S. 339,3,1797-001,1797-02-10,KEEP,has scdb_id
84691,"Clerke, in Error v. Harwood",3 U.S. 342,3,1797-002,1797-02-11,KEEP,has scdb_id
84690,Jennings v. Brig Perseverance,3 U.S. 336,3,1797-003,1797-02-13,KEEP,has scdb_id
84692,Brown v. Van Braam,3 U.S. 344,3,1797-004,1797-02-13,KEEP,has scdb_id
2346358,Fenemore v. United States,3 U.S. 357,3,1797-006,1797-08-07,KEEP,has scdb_id
84693,Brown v. Barry,3 U.S. 365,3,1797-007,1797-08-15,KEEP,has scdb_id
2229888,Hamilton v. Moore,3 U.S. 371,3,1797-008,1797-08-15,KEEP,has scdb_id
2219671,Jones v. Le Tombe,3 U.S. 384,3,1798-001,1798-02-09,KEEP,has scdb_id
84694,Hollingsworth v. Virginia,3 U.S. 378,3,1798-002,1798-02-14,KEEP,has scdb_id
2158753,Bingham v. Cabot,3 U.S. 382,3,1798-003,1798-02-14,KEEP,has scdb_id
2217721,Emory v. Grenough,3 U.S. 369,3,1797-005,1798-02-14,KEEP,has scdb_id
84695,Calder v. Bull,3 U.S. 386,3,1798-005,1798-08-17,KEEP,has scdb_id
2224796,Wilson v. Daniel,3 U.S. 401,3,1798-004,1798-08-17,KEEP,has scdb_id
84696,Dewhurst v. Coulthard,3 U.S. 409,3,1798-006,1799-02-01,KEEP,has scdb_id
84697,Fowler v. Lindsey,3 U.S. 411,3,1799-002,1799-02-19,KEEP,has scdb_id
84698,Sims Lessee v. Irvine,3 U.S. 425,3,1799-004,1799-02-19,KEEP,has scdb_id
2225264,Clarke v. Russel,3 U.S. 415,3,1799-003,1799-02-19,KEEP,has scdb_id
2620848,Turner v. Enrille,4 U.S. 7,4,1799-007,1799-08-09,KEEP,has scdb_id
84706,State of New York v. State of Connecticut Et Al.,4 U.S. 1,4,1799-005,1799-08-17,KEEP,has scdb_id
